checking_status,duration,credit_history,purpose,amount,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
no checking,1_2_years,existing paid,used car,1000_2000,no known savings,>=7,male single,none,no known property,bank,for free,one,skilled,none,yes,good
<0,lo_1_year,existing paid,domestic appliance,lo_1000,100<=X<500,unemployed,female div/dep/mar,none,life insurance,none,own,one,skilled,none,yes,bad
>=200,lo_1_year,existing paid,new car,1000_2000,100<=X<500,>=7,female div/dep/mar,none,no known property,none,for free,one,unskilled resident,none,yes,bad
<0,1_2_years,existing paid,radio/tv,up_2000,>=1000,<1,female div/dep/mar,none,car,bank,own,one,skilled,none,yes,good
<0,1_2_years,all paid,used car,up_2000,<100,1<=X<4,female div/dep/mar,guarantor,car,bank,rent,one,skilled,none,no,good
no checking,1_2_years,delayed previously,furniture/equipment,1000_2000,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,one,skilled,none,yes,bad
0<=X<200,up_2_years,no credits/all paid,business,up_2000,no known savings,1<=X<4,male single,none,car,bank,own,one,high qualif/self emp/mgm,yes,yes,good
0<=X<200,up_2_years,delayed previously,radio/tv,up_2000,no known savings,1<=X<4,male single,none,no known property,none,for free,one,high qualif/self emp/mgm,none,yes,good
<0,lo_1_year,critical/other existing ,new car,up_2000,<100,1<=X<4,male single,none,real estate,none,rent,three,skilled,none,yes,good
0<=X<200,up_2_years,existing paid,furniture/equipment,up_2000,100<=X<500,1<=X<4,female div/dep/mar,co applicant,car,none,rent,one,skilled,none,yes,bad
no checking,lo_1_year,existing paid,new car,lo_1000,<100,1<=X<4,male div/sep,none,real estate,none,own,one,unskilled resident,none,yes,good
0<=X<200,1_2_years,critical/other existing ,business,up_2000,<100,4<=X<7,male single,none,life insurance,none,own,two,skilled,none,yes,good
no checking,1_2_years,critical/other existing ,new car,1000_2000,<100,1<=X<4,male single,none,life insurance,bank,own,two,skilled,none,yes,bad
no checking,up_2_years,existing paid,business,up_2000,no known savings,1<=X<4,male div/sep,none,real estate,bank,own,one,skilled,none,yes,bad
<0,lo_1_year,existing paid,furniture/equipment,1000_2000,<100,<1,female div/dep/mar,none,car,none,rent,one,skilled,none,yes,good
<0,1_2_years,existing paid,radio/tv,up_2000,<100,1<=X<4,male single,none,no known property,none,for free,two,skilled,none,yes,bad
no checking,1_2_years,existing paid,radio/tv,1000_2000,no known savings,>=7,male single,none,car,none,own,one,skilled,none,yes,good
>=200,lo_1_year,existing paid,furniture/equipment,up_2000,<100,1<=X<4,male single,none,real estate,none,own,one,skilled,yes,yes,good
0<=X<200,lo_1_year,all paid,new car,1000_2000,100<=X<500,4<=X<7,male single,none,no known property,none,own,one,skilled,none,yes,bad
no checking,up_2_years,critical/other existing ,furniture/equipment,up_2000,500<=X<1000,1<=X<4,male single,none,real estate,none,own,two,skilled,yes,yes,good
no checking,lo_1_year,existing paid,education,up_2000,no known savings,>=7,male single,none,real estate,none,own,one,unskilled resident,none,yes,good
<0,1_2_years,existing paid,radio/tv,up_2000,<100,1<=X<4,female div/dep/mar,none,car,none,own,one,skilled,none,yes,good
<0,1_2_years,all paid,furniture/equipment,1000_2000,<100,1<=X<4,male single,none,car,bank,own,one,skilled,none,yes,bad
0<=X<200,1_2_years,existing paid,radio/tv,1000_2000,no known savings,<1,male single,none,life insurance,none,own,one,skilled,none,yes,good
no checking,lo_1_year,existing paid,furniture/equipment,1000_2000,<100,<1,female div/dep/mar,co applicant,car,none,rent,two,skilled,none,yes,bad
0<=X<200,1_2_years,existing paid,new car,1000_2000,<100,<1,female div/dep/mar,none,car,none,own,one,unskilled resident,yes,yes,bad
no checking,lo_1_year,existing paid,education,1000_2000,<100,>=7,male single,none,life insurance,bank,own,three,skilled,yes,yes,good
no checking,1_2_years,existing paid,radio/tv,1000_2000,500<=X<1000,4<=X<7,female div/dep/mar,none,car,none,own,one,skilled,none,yes,good
no checking,up_2_years,delayed previously,radio/tv,up_2000,<100,4<=X<7,male single,none,car,none,own,two,skilled,yes,yes,good
no checking,lo_1_year,existing paid,radio/tv,1000_2000,<100,<1,female div/dep/mar,none,car,none,own,one,skilled,none,yes,good
<0,up_2_years,delayed previously,radio/tv,up_2000,<100,4<=X<7,male single,none,life insurance,bank,own,two,skilled,yes,yes,bad
<0,1_2_years,existing paid,education,lo_1000,<100,unemployed,female div/dep/mar,none,real estate,none,own,one,unemp/unskilled non res,none,yes,bad
0<=X<200,1_2_years,existing paid,repairs,1000_2000,<100,>=7,male single,none,car,none,own,two,unskilled resident,none,yes,good
no checking,1_2_years,existing paid,education,up_2000,100<=X<500,1<=X<4,male single,none,life insurance,none,own,one,high qualif/self emp/mgm,yes,yes,bad
no checking,1_2_years,critical/other existing ,radio/tv,1000_2000,<100,4<=X<7,male mar/wid,guarantor,car,none,own,two,skilled,yes,yes,good
<0,1_2_years,critical/other existing ,radio/tv,1000_2000,<100,4<=X<7,male mar/wid,none,life insurance,none,own,two,high qualif/self emp/mgm,yes,yes,good
no checking,up_2_years,delayed previously,business,up_2000,no known savings,<1,male single,none,car,none,rent,two,skilled,yes,yes,bad
<0,up_2_years,no credits/all paid,furniture/equipment,up_2000,<100,1<=X<4,male div/sep,guarantor,real estate,none,own,two,skilled,none,yes,good
no checking,lo_1_year,existing paid,new car,1000_2000,500<=X<1000,1<=X<4,female div/dep/mar,none,life insurance,none,own,one,skilled,none,yes,bad
>=200,1_2_years,existing paid,new car,lo_1000,<100,4<=X<7,male single,none,no known property,bank,for free,one,skilled,none,yes,bad
<0,lo_1_year,existing paid,education,lo_1000,<100,1<=X<4,male single,none,car,none,rent,one,unskilled resident,none,yes,bad
<0,up_2_years,existing paid,education,up_2000,<100,4<=X<7,male single,none,no known property,none,for free,one,high qualif/self emp/mgm,yes,yes,good
0<=X<200,lo_1_year,existing paid,furniture/equipment,1000_2000,<100,1<=X<4,male single,none,life insurance,none,own,one,unskilled resident,none,yes,bad
<0,1_2_years,existing paid,new car,up_2000,<100,>=7,male single,co applicant,real estate,none,own,one,skilled,none,yes,bad
0<=X<200,up_2_years,delayed previously,new car,up_2000,100<=X<500,>=7,male single,none,car,none,own,four,high qualif/self emp/mgm,yes,yes,bad
no checking,1_2_years,critical/other existing ,used car,up_2000,<100,4<=X<7,male single,none,car,none,own,two,skilled,yes,yes,good
<0,1_2_years,existing paid,new car,up_2000,<100,unemployed,male single,none,no known property,none,for free,one,skilled,none,yes,good
0<=X<200,lo_1_year,existing paid,new car,lo_1000,<100,>=7,male single,none,car,bank,own,one,unskilled resident,none,yes,bad
no checking,up_2_years,existing paid,radio/tv,up_2000,no known savings,4<=X<7,male single,none,car,stores,own,one,skilled,yes,yes,good
0<=X<200,up_2_years,no credits/all paid,business,up_2000,<100,1<=X<4,female div/dep/mar,none,car,none,own,two,skilled,none,yes,good
0<=X<200,1_2_years,critical/other existing ,furniture/equipment,up_2000,<100,>=7,male single,none,no known property,none,own,one,skilled,yes,yes,good
>=200,lo_1_year,existing paid,radio/tv,1000_2000,<100,1<=X<4,male mar/wid,none,real estate,none,rent,one,skilled,none,yes,good
<0,lo_1_year,existing paid,new car,lo_1000,no known savings,1<=X<4,male mar/wid,none,car,none,own,one,skilled,none,yes,bad
no checking,1_2_years,existing paid,furniture/equipment,up_2000,<100,>=7,male single,none,real estate,none,own,two,skilled,none,yes,good
0<=X<200,lo_1_year,delayed previously,furniture/equipment,1000_2000,<100,unemployed,male single,none,life insurance,stores,own,two,high qualif/self emp/mgm,yes,yes,good
>=200,lo_1_year,critical/other existing ,education,1000_2000,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,one,unskilled resident,none,yes,good
no checking,1_2_years,critical/other existing ,other,up_2000,<100,unemployed,male single,co applicant,no known property,bank,own,two,high qualif/self emp/mgm,yes,yes,good
0<=X<200,up_2_years,all paid,furniture/equipment,up_2000,>=1000,1<=X<4,male single,none,car,stores,own,one,skilled,yes,yes,good
no checking,up_2_years,all paid,business,up_2000,<100,1<=X<4,female div/dep/mar,none,real estate,stores,own,one,skilled,none,yes,good
<0,lo_1_year,critical/other existing ,new car,up_2000,<100,>=7,male single,co applicant,life insurance,none,rent,two,skilled,yes,yes,bad
>=200,up_2_years,critical/other existing ,radio/tv,up_2000,<100,>=7,male single,none,life insurance,none,own,one,skilled,none,yes,good
no checking,1_2_years,critical/other existing ,business,up_2000,100<=X<500,1<=X<4,male single,none,life insurance,none,own,two,unskilled resident,yes,yes,good
no checking,up_2_years,existing paid,business,up_2000,100<=X<500,4<=X<7,male single,none,car,none,own,two,skilled,yes,yes,good
no checking,up_2_years,existing paid,new car,up_2000,<100,>=7,male single,none,life insurance,none,own,one,high qualif/self emp/mgm,yes,yes,good
no checking,lo_1_year,critical/other existing ,new car,up_2000,500<=X<1000,1<=X<4,male mar/wid,none,car,none,own,one,skilled,none,yes,good
no checking,1_2_years,delayed previously,business,up_2000,500<=X<1000,<1,male single,none,real estate,bank,own,one,unskilled resident,none,yes,bad
no checking,up_2_years,critical/other existing ,radio/tv,up_2000,<100,4<=X<7,female div/dep/mar,none,car,none,rent,one,high qualif/self emp/mgm,yes,yes,good
no checking,1_2_years,critical/other existing ,furniture/equipment,up_2000,<100,>=7,male single,none,car,none,own,one,skilled,yes,yes,good
0<=X<200,up_2_years,existing paid,radio/tv,up_2000,100<=X<500,1<=X<4,male mar/wid,none,car,none,own,one,skilled,none,yes,bad
<0,1_2_years,existing paid,radio/tv,up_2000,<100,>=7,male single,none,real estate,bank,rent,one,unskilled resident,none,yes,good
no checking,1_2_years,existing paid,radio/tv,1000_2000,<100,<1,female div/dep/mar,none,real estate,none,own,one,skilled,none,yes,good
no checking,lo_1_year,existing paid,education,1000_2000,<100,<1,female div/dep/mar,none,no known property,none,own,one,skilled,none,yes,good
no checking,lo_1_year,existing paid,radio/tv,up_2000,no known savings,1<=X<4,male single,none,no known property,none,for free,one,skilled,yes,yes,good
no checking,1_2_years,delayed previously,radio/tv,1000_2000,<100,1<=X<4,male mar/wid,none,real estate,bank,own,two,skilled,none,yes,good
no checking,1_2_years,critical/other existing ,radio/tv,up_2000,<100,<1,male mar/wid,none,no known property,none,for free,three,skilled,yes,yes,good
0<=X<200,up_2_years,delayed previously,business,up_2000,100<=X<500,4<=X<7,male single,none,life insurance,none,own,two,unskilled resident,yes,yes,good
no checking,up_2_years,existing paid,new car,up_2000,no known savings,1<=X<4,male single,none,no known property,none,for free,one,skilled,yes,yes,good
>=200,lo_1_year,critical/other existing ,radio/tv,1000_2000,no known savings,4<=X<7,male single,none,life insurance,none,own,two,skilled,yes,yes,good
0<=X<200,up_2_years,delayed previously,new car,up_2000,100<=X<500,>=7,male single,none,no known property,none,for free,one,skilled,none,yes,good
no checking,lo_1_year,existing paid,radio/tv,up_2000,100<=X<500,>=7,male single,co applicant,car,none,own,one,skilled,yes,yes,good
<0,lo_1_year,existing paid,new car,up_2000,>=1000,1<=X<4,male single,none,life insurance,none,own,one,skilled,none,yes,good
<0,1_2_years,critical/other existing ,furniture/equipment,lo_1000,<100,1<=X<4,male div/sep,none,life insurance,none,own,two,skilled,none,yes,good
0<=X<200,1_2_years,existing paid,repairs,up_2000,100<=X<500,1<=X<4,female div/dep/mar,none,real estate,none,own,one,unskilled resident,none,yes,good
0<=X<200,1_2_years,existing paid,radio/tv,up_2000,100<=X<500,<1,male single,none,car,none,own,one,skilled,none,yes,good
<0,lo_1_year,critical/other existing ,new car,up_2000,no known savings,<1,male single,none,real estate,none,own,two,unskilled resident,none,yes,good
no checking,1_2_years,existing paid,radio/tv,up_2000,<100,4<=X<7,male single,none,car,none,own,one,skilled,yes,yes,good
no checking,lo_1_year,existing paid,used car,1000_2000,500<=X<1000,1<=X<4,male single,none,life insurance,none,rent,one,skilled,none,yes,good
0<=X<200,lo_1_year,existing paid,radio/tv,1000_2000,<100,4<=X<7,male single,guarantor,real estate,none,own,two,skilled,none,no,good
no checking,lo_1_year,critical/other existing ,new car,lo_1000,<100,unemployed,female div/dep/mar,none,life insurance,none,own,one,unemp/unskilled non res,none,yes,good
no checking,1_2_years,critical/other existing ,radio/tv,1000_2000,<100,1<=X<4,male single,none,car,none,own,two,skilled,none,yes,good
>=200,1_2_years,existing paid,education,1000_2000,<100,>=7,male single,none,car,none,rent,one,high qualif/self emp/mgm,yes,yes,good
no checking,lo_1_year,existing paid,furniture/equipment,1000_2000,500<=X<1000,1<=X<4,female div/dep/mar,none,car,none,rent,one,unskilled resident,none,yes,bad
<0,up_2_years,critical/other existing ,used car,up_2000,<100,>=7,male single,none,no known property,none,for free,two,skilled,yes,yes,bad
>=200,1_2_years,existing paid,radio/tv,1000_2000,100<=X<500,>=7,female div/dep/mar,none,no known property,none,for free,one,skilled,yes,yes,good
0<=X<200,up_2_years,delayed previously,business,up_2000,100<=X<500,>=7,male single,none,life insurance,stores,own,two,skilled,none,yes,good
0<=X<200,up_2_years,existing paid,business,up_2000,<100,<1,female div/dep/mar,none,life insurance,none,own,one,skilled,yes,yes,good
no checking,1_2_years,existing paid,new car,up_2000,500<=X<1000,>=7,female div/dep/mar,none,no known property,none,for free,one,skilled,none,yes,good
0<=X<200,up_2_years,existing paid,new car,up_2000,100<=X<500,4<=X<7,male single,none,life insurance,none,own,one,skilled,none,yes,bad
0<=X<200,lo_1_year,no credits/all paid,furniture/equipment,up_2000,<100,<1,female div/dep/mar,none,life insurance,none,rent,two,skilled,none,yes,bad
0<=X<200,lo_1_year,existing paid,radio/tv,1000_2000,<100,>=7,female div/dep/mar,none,real estate,none,own,one,skilled,none,yes,good
0<=X<200,lo_1_year,existing paid,radio/tv,up_2000,<100,1<=X<4,male single,none,real estate,none,own,one,unskilled resident,none,yes,good
no checking,1_2_years,critical/other existing ,radio/tv,lo_1000,500<=X<1000,>=7,male single,none,life insurance,bank,own,two,high qualif/self emp/mgm,yes,yes,good
<0,lo_1_year,all paid,education,1000_2000,<100,>=7,female div/dep/mar,none,no known property,none,for free,one,skilled,none,yes,bad
no checking,1_2_years,existing paid,used car,up_2000,no known savings,>=7,male single,none,real estate,none,own,one,high qualif/self emp/mgm,yes,yes,good
<0,lo_1_year,critical/other existing ,radio/tv,1000_2000,<100,1<=X<4,male single,none,real estate,none,own,two,unskilled resident,none,yes,good
0<=X<200,up_2_years,existing paid,new car,up_2000,<100,4<=X<7,male single,none,no known property,none,own,one,high qualif/self emp/mgm,yes,yes,bad
no checking,up_2_years,critical/other existing ,used car,up_2000,no known savings,>=7,male single,none,car,none,own,two,skilled,none,yes,good
no checking,up_2_years,critical/other existing ,radio/tv,up_2000,no known savings,>=7,male single,none,car,none,own,two,skilled,yes,yes,good
no checking,1_2_years,existing paid,radio/tv,1000_2000,<100,1<=X<4,male single,none,no known property,none,for free,one,high qualif/self emp/mgm,yes,yes,good
>=200,1_2_years,critical/other existing ,radio/tv,up_2000,no known savings,1<=X<4,male single,none,car,none,own,two,skilled,yes,yes,good
0<=X<200,1_2_years,no credits/all paid,used car,up_2000,100<=X<500,>=7,male mar/wid,none,car,bank,own,two,skilled,yes,yes,good
>=200,lo_1_year,no credits/all paid,radio/tv,1000_2000,<100,<1,male single,none,car,none,own,two,high qualif/self emp/mgm,yes,yes,bad
0<=X<200,lo_1_year,all paid,education,lo_1000,>=1000,<1,female div/dep/mar,none,life insurance,bank,rent,one,skilled,none,yes,bad
<0,lo_1_year,existing paid,new car,1000_2000,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,one,unskilled resident,none,yes,bad
0<=X<200,lo_1_year,existing paid,radio/tv,lo_1000,500<=X<1000,1<=X<4,female div/dep/mar,none,real estate,none,own,one,unskilled resident,none,yes,good
no checking,up_2_years,existing paid,new car,up_2000,<100,1<=X<4,female div/dep/mar,none,real estate,none,rent,one,skilled,none,yes,bad
no checking,lo_1_year,critical/other existing ,new car,lo_1000,>=1000,1<=X<4,female div/dep/mar,none,real estate,bank,own,two,unskilled resident,none,yes,good
no checking,1_2_years,critical/other existing ,radio/tv,1000_2000,500<=X<1000,1<=X<4,male mar/wid,none,life insurance,none,own,two,unskilled resident,none,yes,good
<0,1_2_years,existing paid,radio/tv,1000_2000,<100,1<=X<4,female div/dep/mar,none,car,bank,rent,two,skilled,none,yes,bad
0<=X<200,up_2_years,all paid,business,up_2000,<100,>=7,female div/dep/mar,none,no known property,none,rent,one,skilled,none,yes,bad
>=200,1_2_years,critical/other existing ,business,1000_2000,>=1000,1<=X<4,male div/sep,none,real estate,none,own,two,skilled,yes,yes,good
0<=X<200,1_2_years,delayed previously,radio/tv,up_2000,<100,<1,male single,none,car,none,own,one,skilled,none,yes,good
<0,1_2_years,existing paid,radio/tv,1000_2000,<100,1<=X<4,male single,none,real estate,none,rent,one,unskilled resident,none,yes,bad
0<=X<200,lo_1_year,existing paid,radio/tv,lo_1000,<100,4<=X<7,female div/dep/mar,guarantor,real estate,none,own,one,unskilled resident,none,yes,good
no checking,1_2_years,existing paid,used car,up_2000,>=1000,1<=X<4,female div/dep/mar,none,car,none,rent,one,skilled,yes,yes,good
no checking,lo_1_year,critical/other existing ,new car,up_2000,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,one,skilled,none,yes,good
0<=X<200,up_2_years,all paid,domestic appliance,up_2000,no known savings,<1,female div/dep/mar,none,no known property,bank,own,one,unemp/unskilled non res,none,yes,good
0<=X<200,1_2_years,existing paid,used car,up_2000,<100,1<=X<4,female div/dep/mar,none,car,none,rent,two,high qualif/self emp/mgm,none,yes,bad
<0,1_2_years,existing paid,new car,up_2000,100<=X<500,1<=X<4,male single,none,car,none,own,one,unskilled resident,yes,yes,good
no checking,lo_1_year,critical/other existing ,new car,up_2000,<100,4<=X<7,male single,none,no known property,none,own,two,high qualif/self emp/mgm,yes,yes,good
0<=X<200,up_2_years,no credits/all paid,business,up_2000,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,rent,two,unskilled resident,none,yes,bad
<0,1_2_years,all paid,new car,up_2000,100<=X<500,4<=X<7,male single,none,car,bank,own,one,skilled,none,yes,good
0<=X<200,lo_1_year,all paid,radio/tv,1000_2000,<100,1<=X<4,male single,none,real estate,stores,own,one,unskilled resident,none,yes,good
no checking,1_2_years,existing paid,radio/tv,up_2000,no known savings,>=7,male single,none,life insurance,none,own,one,skilled,yes,yes,good
<0,1_2_years,all paid,furniture/equipment,up_2000,500<=X<1000,1<=X<4,male single,none,real estate,stores,own,one,skilled,yes,yes,good
<0,up_2_years,critical/other existing ,furniture/equipment,up_2000,no known savings,4<=X<7,male single,none,life insurance,none,own,two,high qualif/self emp/mgm,yes,yes,good
<0,1_2_years,critical/other existing ,business,1000_2000,<100,<1,male single,none,life insurance,bank,own,two,unskilled resident,none,yes,good
<0,1_2_years,existing paid,new car,up_2000,<100,unemployed,female div/dep/mar,none,car,none,rent,one,skilled,none,yes,good
<0,lo_1_year,existing paid,new car,1000_2000,<100,<1,female div/dep/mar,none,real estate,none,own,one,unskilled resident,none,yes,bad
no checking,1_2_years,existing paid,used car,up_2000,no known savings,1<=X<4,male single,none,car,none,own,one,skilled,none,yes,good
no checking,1_2_years,existing paid,used car,up_2000,<100,4<=X<7,male single,none,car,none,own,one,skilled,none,yes,good
<0,lo_1_year,existing paid,furniture/equipment,lo_1000,<100,>=7,female div/dep/mar,none,life insurance,bank,own,one,skilled,yes,yes,good
<0,1_2_years,existing paid,new car,lo_1000,<100,<1,female div/dep/mar,none,car,none,own,one,unskilled resident,none,yes,bad
0<=X<200,lo_1_year,existing paid,business,lo_1000,100<=X<500,4<=X<7,female div/dep/mar,none,real estate,none,rent,one,unskilled resident,none,yes,good
no checking,up_2_years,critical/other existing ,radio/tv,up_2000,<100,4<=X<7,female div/dep/mar,none,car,none,own,two,skilled,none,yes,good
no checking,lo_1_year,delayed previously,repairs,1000_2000,>=1000,>=7,male single,none,no known property,none,for free,two,skilled,none,yes,bad
<0,1_2_years,existing paid,new car,1000_2000,no known savings,4<=X<7,female div/dep/mar,none,no known property,none,rent,one,skilled,none,yes,bad
>=200,lo_1_year,critical/other existing ,new car,1000_2000,<100,1<=X<4,male single,none,real estate,none,own,three,unemp/unskilled non res,none,no,good
>=200,1_2_years,critical/other existing ,radio/tv,1000_2000,no known savings,1<=X<4,male single,none,no known property,none,for free,two,skilled,yes,yes,bad
no checking,1_2_years,existing paid,new car,1000_2000,<100,1<=X<4,male single,guarantor,real estate,none,own,one,skilled,yes,yes,good
<0,lo_1_year,critical/other existing ,new car,lo_1000,<100,>=7,male single,none,life insurance,none,own,two,skilled,none,yes,bad
no checking,1_2_years,critical/other existing ,new car,up_2000,no known savings,>=7,female div/dep/mar,none,car,none,own,one,skilled,yes,yes,good
<0,1_2_years,critical/other existing ,furniture/equipment,up_2000,<100,1<=X<4,female div/dep/mar,none,real estate,none,rent,two,skilled,none,yes,bad
<0,lo_1_year,existing paid,radio/tv,up_2000,<100,1<=X<4,male single,none,life insurance,none,own,one,unskilled resident,none,yes,good
no checking,1_2_years,critical/other existing ,new car,up_2000,no known savings,>=7,male single,none,no known property,none,for free,one,high qualif/self emp/mgm,yes,yes,bad
no checking,1_2_years,critical/other existing ,new car,up_2000,100<=X<500,4<=X<7,male mar/wid,none,life insurance,none,own,two,skilled,yes,yes,good
0<=X<200,lo_1_year,existing paid,radio/tv,1000_2000,<100,>=7,male mar/wid,guarantor,real estate,bank,own,two,unskilled resident,none,yes,good
<0,up_2_years,existing paid,furniture/equipment,up_2000,<100,<1,male div/sep,none,life insurance,none,own,one,unskilled resident,none,yes,bad
no checking,lo_1_year,existing paid,used car,up_2000,no known savings,<1,female div/dep/mar,none,real estate,none,rent,one,skilled,none,yes,good
0<=X<200,lo_1_year,critical/other existing ,furniture/equipment,up_2000,<100,>=7,male single,none,car,none,rent,three,skilled,yes,yes,good
no checking,lo_1_year,critical/other existing ,radio/tv,1000_2000,<100,>=7,male single,none,real estate,none,own,two,unskilled resident,yes,yes,good
<0,1_2_years,existing paid,used car,up_2000,no known savings,>=7,female div/dep/mar,none,real estate,none,rent,one,skilled,none,yes,good
<0,up_2_years,critical/other existing ,education,up_2000,<100,1<=X<4,female div/dep/mar,none,no known property,none,own,two,high qualif/self emp/mgm,yes,yes,bad
no checking,1_2_years,critical/other existing ,used car,up_2000,<100,>=7,male single,none,car,none,own,one,high qualif/self emp/mgm,yes,yes,good
no checking,1_2_years,critical/other existing ,radio/tv,up_2000,100<=X<500,>=7,male single,none,life insurance,bank,own,two,skilled,none,yes,good
>=200,lo_1_year,critical/other existing ,new car,1000_2000,500<=X<1000,unemployed,male single,none,no known property,bank,for free,three,unemp/unskilled non res,none,yes,good
<0,1_2_years,existing paid,new car,1000_2000,no known savings,1<=X<4,female div/dep/mar,none,real estate,none,rent,one,skilled,none,yes,bad
no checking,up_2_years,critical/other existing ,new car,up_2000,<100,4<=X<7,male single,none,car,none,own,two,skilled,yes,yes,good
<0,1_2_years,existing paid,radio/tv,up_2000,<100,4<=X<7,female div/dep/mar,guarantor,real estate,none,own,one,skilled,none,yes,good
no checking,up_2_years,critical/other existing ,used car,up_2000,>=1000,>=7,male single,none,car,none,own,two,high qualif/self emp/mgm,yes,yes,good
0<=X<200,1_2_years,existing paid,repairs,up_2000,<100,unemployed,female div/dep/mar,none,car,none,own,one,skilled,yes,yes,good
0<=X<200,up_2_years,critical/other existing ,radio/tv,up_2000,<100,4<=X<7,male single,guarantor,real estate,none,own,two,skilled,none,yes,bad
no checking,1_2_years,critical/other existing ,new car,1000_2000,>=1000,>=7,male single,none,real estate,none,own,one,skilled,yes,yes,good
0<=X<200,lo_1_year,no credits/all paid,retraining,1000_2000,<100,1<=X<4,male single,none,real estate,none,own,one,unskilled resident,yes,yes,good
0<=X<200,lo_1_year,existing paid,new car,lo_1000,100<=X<500,<1,female div/dep/mar,none,life insurance,bank,own,one,unskilled resident,none,yes,bad
0<=X<200,1_2_years,existing paid,used car,up_2000,no known savings,unemployed,male div/sep,none,real estate,none,own,one,high qualif/self emp/mgm,yes,yes,good
0<=X<200,1_2_years,existing paid,business,1000_2000,>=1000,1<=X<4,male single,none,life insurance,none,own,one,unskilled resident,yes,yes,good
no checking,1_2_years,existing paid,radio/tv,up_2000,500<=X<1000,>=7,male single,none,car,none,own,one,skilled,none,yes,good
no checking,up_2_years,critical/other existing ,used car,up_2000,no known savings,>=7,male single,none,car,none,own,two,skilled,yes,yes,good
0<=X<200,up_2_years,delayed previously,education,up_2000,<100,>=7,male single,none,no known property,none,for free,one,skilled,none,yes,bad
<0,up_2_years,critical/other existing ,education,up_2000,<100,1<=X<4,male single,none,no known property,bank,own,one,skilled,yes,yes,bad
0<=X<200,1_2_years,existing paid,business,1000_2000,<100,>=7,female div/dep/mar,none,life insurance,none,own,one,skilled,none,yes,bad
no checking,1_2_years,existing paid,used car,up_2000,no known savings,>=7,male single,none,car,none,own,one,high qualif/self emp/mgm,yes,yes,good
no checking,lo_1_year,critical/other existing ,furniture/equipment,1000_2000,no known savings,1<=X<4,male mar/wid,none,life insurance,none,own,two,skilled,none,yes,good
>=200,1_2_years,existing paid,furniture/equipment,up_2000,<100,>=7,male div/sep,none,no known property,none,for free,one,skilled,none,yes,good
no checking,1_2_years,existing paid,furniture/equipment,up_2000,500<=X<1000,>=7,male single,none,no known property,none,rent,one,skilled,yes,yes,good
no checking,lo_1_year,existing paid,furniture/equipment,up_2000,100<=X<500,<1,female div/dep/mar,none,life insurance,none,rent,one,skilled,none,yes,good
<0,1_2_years,existing paid,used car,up_2000,no known savings,>=7,male single,none,life insurance,none,for free,one,skilled,yes,yes,bad
no checking,lo_1_year,critical/other existing ,furniture/equipment,1000_2000,<100,<1,female div/dep/mar,none,life insurance,none,rent,two,unskilled resident,none,yes,good
no checking,1_2_years,delayed previously,new car,lo_1000,no known savings,>=7,male mar/wid,none,car,none,own,two,skilled,yes,yes,good
0<=X<200,lo_1_year,existing paid,new car,1000_2000,no known savings,<1,male single,none,real estate,none,own,one,unemp/unskilled non res,none,yes,good
no checking,1_2_years,critical/other existing ,education,1000_2000,<100,>=7,male single,none,no known property,none,for free,two,skilled,none,yes,good
0<=X<200,1_2_years,critical/other existing ,radio/tv,1000_2000,<100,>=7,female div/dep/mar,guarantor,real estate,bank,rent,two,unskilled resident,yes,yes,good
<0,1_2_years,critical/other existing ,furniture/equipment,up_2000,<100,>=7,female div/dep/mar,none,life insurance,none,own,two,skilled,none,yes,good
no checking,lo_1_year,critical/other existing ,radio/tv,lo_1000,no known savings,>=7,male single,none,car,none,own,two,skilled,none,yes,good
0<=X<200,lo_1_year,existing paid,new car,up_2000,no known savings,unemployed,female div/dep/mar,none,real estate,none,rent,one,unemp/unskilled non res,none,yes,good
<0,up_2_years,existing paid,new car,up_2000,<100,4<=X<7,male single,none,car,none,own,one,skilled,yes,yes,bad
0<=X<200,lo_1_year,existing paid,radio/tv,lo_1000,<100,<1,male mar/wid,none,real estate,none,own,one,unskilled resident,none,no,good
no checking,lo_1_year,critical/other existing ,radio/tv,lo_1000,no known savings,>=7,male single,none,real estate,none,own,four,skilled,none,yes,good
0<=X<200,up_2_years,all paid,used car,up_2000,<100,unemployed,male single,none,no known property,bank,for free,one,high qualif/self emp/mgm,yes,yes,good
0<=X<200,1_2_years,no credits/all paid,new car,1000_2000,<100,<1,female div/dep/mar,none,real estate,none,rent,two,unemp/unskilled non res,none,yes,bad
0<=X<200,lo_1_year,existing paid,business,lo_1000,<100,<1,male mar/wid,none,real estate,none,own,one,skilled,yes,yes,good
0<=X<200,lo_1_year,existing paid,radio/tv,lo_1000,<100,4<=X<7,male mar/wid,guarantor,real estate,bank,own,one,unskilled resident,none,yes,good
<0,up_2_years,critical/other existing ,used car,up_2000,<100,4<=X<7,male single,none,car,none,own,two,skilled,yes,yes,bad
